p2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
AML.sumstats.gz	0.0161	0.3415	0.0472	0.9624	0.0006	0.0008	0.9980	0.0054	-0.0740	0.0040
Hodgkin_disease.sumstats.gz	-0.0538	0.2693	-0.1996	0.8418	0.0007	0.0008	0.9972	0.0054	-0.0037	0.0035
large_cell_lymphoma.sumstats.gz	0.4337	0.3376	1.2845	0.1990	0.0014	0.0012	0.9864	0.0067	-0.0065	0.0042
lymphoid_leukemia.sumstats.gz	0.2535	0.2409	1.0523	0.2927	0.0010	0.0008	0.9969	0.0054	-0.0430	0.0039
multiple_myeloma.sumstats.gz	0.0720	0.2080	0.3462	0.7292	0.0012	0.0008	0.9926	0.0052	-0.0148	0.0036
nodular_lymphoma.sumstats.gz	0.1741	0.1915	0.9091	0.3633	0.0025	0.0018	0.9908	0.0081	-0.0007	0.0035
coronary_atherosclerosis.sumstats.gz	0.0574	0.0545	1.0537	0.2920	0.0235	0.0021	1.0505	0.0086	-0.0168	0.0042
myocardial_infarction.sumstats.gz	-0.0861	0.0809	-1.0647	0.2870	0.0155	0.0015	1.0288	0.0072	-0.0126	0.0037
